date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:02	166723/166723	---M-Z	200	added ('OK')	text/html	etag:W/%2295946a102b218d18837554f3c64d4bf7--gzip%22	https://www.ranierespeaks.com/	./ranierespeaks-mirror/www.ranierespeaks.com/index.html	(from )
11:17:02	3781/3781	---M--	200	added ('OK')	image/jpeg	etag:CLigusiMz+wCEAE=	https://images.squarespace-cdn.com/content/v1/5f8b59649453d840fef3dddc/1603606721162-ZO5RSJS5NS99ESR2KSJ5/favicon.ico?format=100w	./ranierespeaks-mirror/images.squarespace-cdn.com/content/v1/5f8b59649453d840fef3dddc/1603606721162-ZO5RSJS5NS99ESR2KSJ5/faviconfc89.jpg	(from https://www.ranierespeaks.com/)
11:17:03	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Sat,%2014%20Jun%202025%2015:17:03%20GMT	http://static1.squarespace.com/static/5f8b59649453d840fef3dddc/t/6042884eb315f760b6927717/1643082795190/photo_2021-03-05+14.35.58.jpg?format=1500w	./ranierespeaks-mirror/static1.squarespace.com/static/5f8b59649453d840fef3dddc/t/6042884eb315f760b6927717/1643082795190/photo_2021-03-05+14.35.58.126f7.delayed	(from https://www.ranierespeaks.com/)
11:17:04	11714/11714	---M--	200	added ('OK')	image/jpeg	etag:CIL3pM30me8CEAE=	https://images.squarespace-cdn.com/content/5f8b59649453d840fef3dddc/1614973362673-W4HIOWW7LJA9KMBFYMLZ/photo_2021-03-05%2B14.35.58.jpg?content-type=image%2Fjpeg	./ranierespeaks-mirror/images.squarespace-cdn.com/content/5f8b59649453d840fef3dddc/1614973362673-W4HIOWW7LJA9KMBFYMLZ/photo_2021-03-05+14.35.58ee8a.jpg	(from https://www.ranierespeaks.com/)
11:17:06	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	./ranierespeaks-mirror/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.ranierespeaks.com/)
11:17:06	8/8	---M--	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:17:06%20GMT	https://images.squarespace-cdn.com/	./ranierespeaks-mirror/images.squarespace-cdn.com/index.html	(from https://www.ranierespeaks.com/)
11:17:06	18048/18048	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2014%20Jun%202025%2015:17:06%20GMT	http://use.typekit.net/ik/DKEdzaM4uSoLCB2koZlEguhis977ff6i_Dgd6kg8HZIfeGGIfFHN4UJLFRbh52jhWDmc5eJu5QjX5QbuwhbtF2gcZAjDZesqjU7YMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ScB0-AmkZWF3ZABnSkoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeUzjhBC-eNDifUkjAoTZW48Sag8jAlDOcFzdPUkjAoTZW48Sag8jAlDO1FUiABkZWF3jAF8OcFzdPUDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBDOcu8OYiaikokjAoTZW48Sag8jAlDOcFzdPUaiaS0ScB0-AmkZWF3ZABnSkoDSWmyScmDSeBRZPoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXKIeBqdh48OAFyShUzdKu3Scv7fbKKbyMMeMb6MKG4fHZfIMMjgKMfH6qJTIJbMg6YJMJ7fbKRbyMMeMt6MKG4fHifIMMjIfMfH6qJT9JbMg6sJMHbMiYFntte.js	./ranierespeaks-mirror/use.typekit.net/ik/DKEdzaM4uSoLCB2koZlEguhis977ff6i_Dgd6kg8HZIfeGGIfFHN4UJLFRbh52jhWDmc5eJu5QjX5QbuwhbtF2gcZAjDZesqjU7YMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ScB0-AmkZWF3ZABnSk	(from https://www.ranierespeaks.com/)
11:17:06	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2015:17:06%20GMT	https://p.typekit.net/	./ranierespeaks-mirror/p.typekit.net/index.html	(from https://www.ranierespeaks.com/)
11:17:06	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2014%20Jun%202025%2015:17:06%20GMT	https://use.typekit.net/	./ranierespeaks-mirror/use.typekit.net/index.html	(from https://www.ranierespeaks.com/)
11:17:10	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	./ranierespeaks-mirror/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.ranierespeaks.com/)
